Reporter Identifier	VALUE
ILMN_1810780	6.493609596
ILMN_1691428	13.0994468
ILMN_1670379	10.60687349
ILMN_1743402	9.204585208
ILMN_1671895	7.732895467
ILMN_1763540	10.13093376
ILMN_1778374	11.96093816
ILMN_1720255	6.482773288
ILMN_1915816	6.500233203
ILMN_1669543	6.353098373
ILMN_1779076	6.892654855
ILMN_1776822	6.475788156
ILMN_1709396	6.556054832
ILMN_2300396	9.185015381
ILMN_1830806	6.450774527
ILMN_1814002	6.887412229
ILMN_2092987	6.721440034
ILMN_1897299	6.624400863
ILMN_1898341	6.270088714
ILMN_1701641	7.683953473
ILMN_1806892	6.342840982
ILMN_1692198	7.593838746
ILMN_2391176	6.717661252
ILMN_1665884	6.760165952
ILMN_1891752	6.51950827
ILMN_2095597	6.697995447
ILMN_1707700	6.705562899
ILMN_1759048	6.888989237
ILMN_1844128	6.180807549
ILMN_1771905	6.636443143
ILMN_2068122	6.721292586
ILMN_1889799	6.316922986
ILMN_1890332	6.491442222
ILMN_1879077	6.487565588
ILMN_1762995	6.550892616
ILMN_1737003	6.495667526
ILMN_1788462	8.711239992
ILMN_1773809	7.222237841
ILMN_1721337	7.403132784
ILMN_1669759	6.4301557
ILMN_1652745	6.339844156
ILMN_1846797	6.431117584
ILMN_1742046	6.324841005
ILMN_1843360	6.342657458
ILMN_1714841	6.482936698
ILMN_1706536	6.438094703
ILMN_2314007	8.119786538
ILMN_2318568	8.1020651
ILMN_1706832	6.244302215
ILMN_1906585	6.382188079
ILMN_1903186	6.492357683
ILMN_1801610	6.893690176
ILMN_2364901	6.410641837
ILMN_1874569	6.774240833
ILMN_1679116	6.487697503
ILMN_1865164	6.362987179
ILMN_1799516	11.78766177
ILMN_1669044	6.426694219
ILMN_1743635	7.454510254
ILMN_1651776	8.857579026
ILMN_1898414	6.400332651
ILMN_1663897	6.663622882
ILMN_1775373	6.486223123
ILMN_1917100	6.294210833
ILMN_2305249	6.533510692
ILMN_1895888	6.397629963
ILMN_1853783	6.325948994
ILMN_1913953	6.59617372
ILMN_1883559	6.477210892
ILMN_2125395	6.849294798
ILMN_1905025	6.338954592
ILMN_1782141	6.303180797
ILMN_1679045	6.63801846
ILMN_1699121	6.881498427
ILMN_1721558	6.522638391
ILMN_1833359	6.472214953
ILMN_1709775	6.436574873
ILMN_1723684	6.796545121
ILMN_1792305	8.36606512
ILMN_1791826	6.471310946
ILMN_1782863	6.45051256
ILMN_2094396	6.904917306
ILMN_1689234	6.448909353
ILMN_1768721	6.619676861
ILMN_1808251	6.452415202
ILMN_1731178	6.375425368
ILMN_1715638	6.370613338
ILMN_2385220	9.744379685
ILMN_1784641	12.37048114
ILMN_1884805	6.294784404
ILMN_1857296	6.36451027
ILMN_2090059	6.822422331
ILMN_1655740	6.523536719
ILMN_1659982	6.490335219
ILMN_2180252	6.253356081
ILMN_1689774	11.4335787
ILMN_1807491	6.392470037
ILMN_2316955	6.358057914
ILMN_1807686	6.474406343
ILMN_1811616	7.421845197
ILMN_1889019	6.230321671
ILMN_1658315	6.295290546
ILMN_1757896	6.458583924
ILMN_1773126	6.694947092
ILMN_1912197	6.437135401
ILMN_1725105	8.658924941
ILMN_2406532	6.53647206
ILMN_1792356	8.057442885
ILMN_1681916	6.607912879
ILMN_1798373	6.453377496
ILMN_1885833	6.288927517
ILMN_1654612	7.277452519
ILMN_1665870	6.797593624
ILMN_1717366	6.528447462
ILMN_2373666	5.954077508
ILMN_1655100	6.386371492
ILMN_1654893	8.315958048
ILMN_1661178	6.467044252
ILMN_1800958	8.855509537
ILMN_1856075	6.511163502
ILMN_1669494	6.369034705
ILMN_1786872	6.936598221
ILMN_1683194	6.252173353
ILMN_1672975	6.695822303
ILMN_1780842	6.654478922
ILMN_1831751	6.315808901
ILMN_1796141	6.387127718
ILMN_1778631	6.37468209
ILMN_1749168	6.44701867
ILMN_1901921	6.618754486
ILMN_2132828	6.581768034
ILMN_1824307	6.503137701
ILMN_1820883	6.338184265
ILMN_1684385	10.18458517
ILMN_1857897	8.811482278
ILMN_1765796	10.14556837
ILMN_1733655	6.526158142
ILMN_1835005	6.442758996
ILMN_1737818	8.052547609
ILMN_1879058	6.430889098
ILMN_1726288	6.856580709
ILMN_2046751	6.530195689
ILMN_2286800	8.245155868
ILMN_1733583	6.246978593
ILMN_1866868	6.490590497
ILMN_1766247	6.576748897
ILMN_1685714	6.739791278
ILMN_1877892	6.299468892
ILMN_1818857	6.208756868
ILMN_1821842	6.486844158
ILMN_1786278	6.701851528
ILMN_1770260	6.931467265
ILMN_1766000	6.851832659
ILMN_1906828	6.432777045
ILMN_1820987	6.375256555
ILMN_1685369	9.304384074
ILMN_1743857	6.284552125
ILMN_1876145	6.643398727
ILMN_1749210	7.835550089
ILMN_1765729	6.406372053
ILMN_1797164	6.512407022
ILMN_1811478	6.66625771
ILMN_1791678	6.506318356
ILMN_1716367	6.64575404
ILMN_1870484	6.527358195
ILMN_1749738	7.91401932
ILMN_1778291	6.337021491
ILMN_1813585	6.383856307
ILMN_1672034	6.6560286
ILMN_1704987	6.496687012
ILMN_1838863	9.489039973
ILMN_1807177	6.820195414
ILMN_1903956	6.438262012
ILMN_2089365	6.38135782
ILMN_1862029	6.319159685
ILMN_1908058	6.377279299
ILMN_1654212	6.533552762
ILMN_1904471	6.62519168
ILMN_1756146	8.84946338
ILMN_1812380	6.542934858
ILMN_1685387	6.745289269
ILMN_2127328	7.334648537
ILMN_1762139	6.337085203
ILMN_1699190	6.304804198
ILMN_2372040	7.820166047
ILMN_1755786	6.633256518
ILMN_1850115	6.2751404
ILMN_1807413	6.458277813
ILMN_1746769	6.575879396
ILMN_1876724	6.561287504
ILMN_1793670	6.566807599
ILMN_1694011	6.517648929
ILMN_1851667	6.338585268
ILMN_1889525	6.3899745
ILMN_1770576	6.196889205
ILMN_1851305	6.393127163
ILMN_1718742	6.468690225
ILMN_2179063	7.023633642
ILMN_1762255	6.42002253
ILMN_1708664	6.254333204
ILMN_1691692	6.608893401
ILMN_1797046	6.974785579
ILMN_1660554	6.936475846
ILMN_1672656	6.373615647
ILMN_2246083	6.548577129
ILMN_1781182	6.579870035
ILMN_1659077	6.550085312
ILMN_1838504	6.303235876
ILMN_2190126	6.632545034
ILMN_1870633	6.552590103
ILMN_1758497	7.21891235
ILMN_2331348	6.857752507
ILMN_1736655	6.529485147
ILMN_2379063	6.669352941
ILMN_1655935	7.248742055
ILMN_1704424	6.55768648
ILMN_1756091	6.368409775
ILMN_1811370	6.51459006
ILMN_1677633	6.429038243
ILMN_1843692	6.528052355
ILMN_1831179	6.657993779
ILMN_1733560	6.149326241
ILMN_1662418	6.586480416
